Tempo (s);m;n;diags;threads;;;;
27.000.000;200;200;399;14;29.100.000;;;
30.000.000;200;200;399;14;29.400.000;;;
26.000.000;200;200;399;14;29.200.000;;;
26.000.000;200;200;399;14;29.200.000;;;
27.000.000;200;200;399;14;29.200.000;x;;
27.000.000;200;200;399;15;29.200.000;;;
37.000.000;200;200;399;15;30.200.000;;;
28.000.000;200;200;399;15;29.300.000;;;
29.000.000;200;200;399;15;28.900.000;;;
26.000.000;200;200;399;15;28.300.000;;;
29.000.000;200;200;399;15;28.500.000;;;
27.000.000;200;200;399;15;28.200.000;;;
28.000.000;200;200;399;15;28.400.000;;;
26.000.000;200;200;399;15;28.400.000;;;
29.000.000;200;200;399;15;28.600.000;x;;
26.000.000;200;200;399;16;28.500.000;;;
30.000.000;200;200;399;16;27.800.000;;;
27.000.000;200;200;399;16;27.700.000;;;
29.000.000;200;200;399;16;27.700.000;;;
34.000.000;200;200;399;16;28.500.000;;;
30.000.000;200;200;399;16;28.600.000;;;
28.000.000;200;200;399;16;28.700.000;;;
28.000.000;200;200;399;16;28.700.000;;;
34.000.000;200;200;399;16;29.500.000;;;
26.000.000;200;200;399;16;29.200.000;;;
27.000.000;200;200;399;16;29.300.000;x;;
