tnum;elementos_processados;diagonais_processadas
T1;62250;250
T0;62250;250
T2;62250;250
T3;62251;249
tnum;elementos_processados;diagonais_processadas
T1;62250;250
T3;62251;249
T2;62250;250
T0;62250;250
tnum;elementos_processados;diagonais_processadas
T2;62250;250
T3;62251;249
T0;62250;250
T1;62250;250
tnum;elementos_processados;diagonais_processadas
T0;62250;250
T1;62250;250
T3;62251;249
T2;62250;250
tnum;elementos_processados;diagonais_processadas
tnum;elementos_processados;diagonais_processadas
tnum;elementos_processados;diagonais_processadas
tnum;elementos_processados;diagonais_processadas
tnum;elementos_processados;diagonais_processadas
tnum;elementos_processados;diagonais_processadas
tnum;elementos_processados;diagonais_processadas
tnum;elementos_processados;diagonais_processadas
T3;62251;249
T1;62250;250
T2;62250;250
T0;62250;250
tnum;elementos_processados;diagonais_processadas
T2;2450;50
T1;2450;50
T0;2450;50
T3;2451;49
tnum;elementos_processados;diagonais_processadas
T3;2451;49
T0;2450;50
T1;2450;50
T2;2450;50
tnum;elementos_processados;diagonais_processadas
T3;2451;49
T0;2450;50
T2;2450;50
T1;2450;50
tnum;elementos_processados;diagonais_processadas
T3;2451;49
T1;2450;50
T0;2450;50
T2;2450;50
tnum;elementos_processados;diagonais_processadas
T0;2450;50
T1;2450;50
T2;2450;50
T3;2451;49
tnum;elementos_processados;diagonais_processadas
T1;3267;66
T2;3267;66
T0;3267;67
tnum;elementos_processados;diagonais_processadas
T8;980;20
T5;980;20
T4;980;20
T1;980;20
T6;980;20
T0;980;20
T9;981;19
T2;980;20
T3;980;20
T7;980;20
tnum;elementos_processados;diagonais_processadas
T6;980;20
T2;980;20
T1;980;20
T8;980;20
T5;980;20
T7;980;20
T3;980;20
T0;980;20
T4;980;20
T9;981;19
tnum;elementos_processados;diagonais_processadas
T9;981;19
T0;980;20
T8;980;20
T4;980;20
T7;980;20
T1;980;20
T5;980;20
T3;980;20
T2;980;20
T6;980;20
