25.000000; 200; 200; 399; 3
23.000000; 200; 200; 399; 3
26.000000; 200; 200; 399; 3
33.000000; 200; 200; 399; 3
25.000000; 200; 200; 399; 3
30.000000; 200; 200; 399; 3
25.000000; 200; 200; 399; 3
25.000000; 200; 200; 399; 3
24.000000; 200; 200; 399; 3
34.000000; 200; 200; 399; 3
24.000000; 200; 200; 399; 3
29.000000; 200; 200; 399; 3
23.000000; 200; 200; 399; 3
24.000000; 200; 200; 399; 3
29.000000; 200; 200; 399; 3
25.000000; 200; 200; 399; 3
35.000000; 200; 200; 399; 3
49.000000; 200; 200; 399; 3
30.000000; 200; 200; 399; 3
26.000000; 200; 200; 399; 3
26.000000; 200; 200; 399; 3
72.000000; 200; 200; 399; 3
65.000000; 200; 200; 399; 3
27.000000; 200; 200; 399; 3
26.000000; 200; 200; 399; 3
3.000000; 200; 200; 399; 3
2.000000; 200; 200; 399; 2
5.000000; 200; 200; 399; 30
3.000000; 200; 200; 399; 2
3.000000; 200; 200; 399; 3
