THREADS;1;TEMPO;0,1150000000;LOOPS;600
THREADS;2;TEMPO;0,1066666667;LOOPS;600
THREADS;4;TEMPO;0,0966666667;LOOPS;600
THREADS;8;TEMPO;0,0983333333;LOOPS;600
THREADS;16;TEMPO;0,0983333333;LOOPS;600
THREADS;32;TEMPO;0,1016666667;LOOPS;600
THREADS;64;TEMPO;0,1183333333;LOOPS;600
THREADS;128;TEMPO;0,1083333333;LOOPS;600
THREADS;256;TEMPO;0,2216666667;LOOPS;600
THREADS;512;TEMPO;0,1416666667;LOOPS;600
THREADS;1024;TEMPO;0,1866666667;LOOPS;600
THREADS;2048;TEMPO;0,2716666667;LOOPS;600
THREADS;1;TEMPO;1,0200000000;LOOPS;100
THREADS;2;TEMPO;0,7900000000;LOOPS;100
THREADS;3;TEMPO;0,7500000000;LOOPS;100
THREADS;4;TEMPO;0,7400000000;LOOPS;100
THREADS;5;TEMPO;0,7500000000;LOOPS;100
THREADS;6;TEMPO;0,5900000000;LOOPS;100
THREADS;7;TEMPO;0,6900000000;LOOPS;100
THREADS;8;TEMPO;0,6400000000;LOOPS;100
THREADS;9;TEMPO;0,7400000000;LOOPS;100
THREADS;10;TEMPO;0,7100000000;LOOPS;100
THREADS;11;TEMPO;0,6900000000;LOOPS;100
THREADS;12;TEMPO;0,7600000000;LOOPS;100
THREADS;13;TEMPO;0,6500000000;LOOPS;100
THREADS;14;TEMPO;0,7500000000;LOOPS;100
THREADS;15;TEMPO;0,8500000000;LOOPS;100
THREADS;1;TEMPO;0,7000000000;LOOPS;100
THREADS;1;TEMPO;0,3000000000;LOOPS;100
THREADS;2;TEMPO;0,2900000000;LOOPS;100
